date,NO2(t-2),NO2(t-1),NO2(t)
2024-04-11,0.22264753696609382,0.18538972208573382,0.1481319072053738
2024-04-12,0.18538972208573382,0.1481319072053738,0.11087410759596814
2024-04-13,0.1481319072053738,0.11087410759596814,0.0861915876832545
2024-04-14,0.11087410759596814,0.0861915876832545,0.07463451414053726
2024-04-15,0.0861915876832545,0.07463451414053726,0.06194780228976354
2024-04-16,0.07463451414053726,0.06194780228976354,0.08708493851425095
2024-04-17,0.06194780228976354,0.08708493851425095,0.1047600755924458
2024-04-18,0.08708493851425095,0.1047600755924458,0.1224352126706407
2024-04-19,0.1047600755924458,0.1224352126706407,0.09217535844594951
2024-04-20,0.1224352126706407,0.09217535844594951,0.09495364898843975
2024-04-21,0.09217535844594951,0.09495364898843975,0.09321752472734016
2024-04-22,0.09495364898843975,0.09321752472734016,0.09148135465337745
2024-04-23,0.09321752472734016,0.09148135465337745,0.08821202657292662
2024-04-24,0.09148135465337745,0.08821202657292662,0.0849426984924758
2024-04-25,0.08821202657292662,0.0849426984924758,0.08167337041202502
2024-04-26,0.0849426984924758,0.08167337041202502,0.07840405760252858
2024-04-27,0.08167337041202502,0.07840405760252858,0.11031386209277552
2024-04-28,0.07840405760252858,0.11031386209277552,0.1093068953612216
2024-04-29,0.11031386209277552,0.1093068953612216,0.13830515496109322
2024-04-30,0.1093068953612216,0.13830515496109322,0.13144353338609346
2024-05-01,0.13830515496109322,0.13144353338609346,0.1519380246030956
2024-05-02,0.13144353338609346,0.1519380246030956,0.2617011244553461
2024-05-03,0.1519380246030956,0.2617011244553461,0.30187179752815774
2024-05-04,0.2617011244553461,0.30187179752815774,0.26776332683971626
2024-05-05,0.30187179752815774,0.26776332683971626,0.19080164141991043
2024-05-06,0.26776332683971626,0.19080164141991043,0.11029816355167701
2024-05-07,0.19080164141991043,0.11029816355167701,0.11352268665198864
2024-05-08,0.11029816355167701,0.11352268665198864,0.10687559144406297
2024-05-09,0.11352268665198864,0.10687559144406297,0.11540877168506061
2024-05-10,0.10687559144406297,0.11540877168506061,0.06883439187516813
2024-05-11,0.11540877168506061,0.06883439187516813,0.0966190534598241
2024-05-12,0.06883439187516813,0.0966190534598241,0.049424810340855
2024-05-13,0.0966190534598241,0.049424810340855,0.06891732842838422
2024-05-14,0.049424810340855,0.06891732842838422,0.07576106771580973
2024-05-15,0.06891732842838422,0.07576106771580973,0.07202227995593169
2024-05-16,0.07576106771580973,0.07202227995593169,0.0794035873793014
2024-05-17,0.07202227995593169,0.0794035873793014,0.0665357772805826
2024-05-18,0.0794035873793014,0.0665357772805826,0.07528751542060971
2024-05-19,0.0665357772805826,0.07528751542060971,0.08711175431013521
2024-05-20,0.07528751542060971,0.08711175431013521,0.0924512740496152
2024-05-21,0.08711175431013521,0.0924512740496152,0.12484924513840004
2024-05-22,0.0924512740496152,0.12484924513840004,0.14463540840762548
2024-05-23,0.12484924513840004,0.14463540840762548,0.11314254678470662
2024-05-24,0.14463540840762548,0.11314254678470662,0.13531030701459681
2024-05-25,0.11314254678470662,0.13531030701459681,0.13085589179075027
2024-05-26,0.13531030701459681,0.13085589179075027,0.13462974166187566
2024-05-27,0.13085589179075027,0.13462974166187566,0.11153827194368945
2024-05-28,0.13462974166187566,0.11153827194368945,0.0678943577366442
2024-05-29,0.11153827194368945,0.0678943577366442,0.07876480335775302
2024-05-30,0.0678943577366442,0.07876480335775302,0.13427921217512875
2024-05-31,0.07876480335775302,0.13427921217512875,0.07184504525944371
2024-06-01,0.13427921217512875,0.07184504525944371,0.14054839707511133
2024-06-02,0.07184504525944371,0.14054839707511133,0.17776299515458724
2024-06-03,0.14054839707511133,0.17776299515458724,0.21497756269215437
2024-06-04,0.17776299515458724,0.21497756269215437,0.22268301139310928
2024-06-05,0.21497756269215437,0.22268301139310928,0.24324970368240126
2024-06-06,0.22268301139310928,0.24324970368240126,0.11223161908522342
2024-06-07,0.24324970368240126,0.11223161908522342,0.20033714602233174
2024-06-08,0.11223161908522342,0.20033714602233174,0.07662011998327767
2024-06-09,0.20033714602233174,0.07662011998327767,0.07891074786872451
2024-06-10,0.07662011998327767,0.07891074786872451,0.11409612625976209
2024-06-11,0.07891074786872451,0.11409612625976209,0.06446534128628348
2024-06-12,0.11409612625976209,0.06446534128628348,0.08568737131166745
2024-06-13,0.06446534128628348,0.08568737131166745,0.15393746593050076
2024-06-14,0.08568737131166745,0.15393746593050076,0.12018125034665064
2024-06-15,0.15393746593050076,0.12018125034665064,0.08637625933452356
2024-06-16,0.12018125034665064,0.08637625933452356,0.05257122250953333
2024-06-17,0.08637625933452356,0.05257122250953333,0.056057611935484725
2024-06-18,0.05257122250953333,0.056057611935484725,0.059544016632390506
2024-06-19,0.056057611935484725,0.059544016632390506,0.14368978509979993
2024-06-20,0.059544016632390506,0.14368978509979993,0.1736079211784192
2024-06-21,0.14368978509979993,0.1736079211784192,0.17163247052033884
2024-06-22,0.1736079211784192,0.17163247052033884,0.08402882349879795
2024-06-23,0.17163247052033884,0.08402882349879795,0.1179123072164178
2024-06-24,0.08402882349879795,0.1179123072164178,0.12813472988858068
2024-06-25,0.1179123072164178,0.12813472988858068,0.13835715256074357
2024-06-26,0.12813472988858068,0.13835715256074357,0.11529283459943798
2024-06-27,0.13835715256074357,0.11529283459943798,0.0613331005632661
2024-06-28,0.11529283459943798,0.0613331005632661,0.06526544766986003
2024-06-29,0.0613331005632661,0.06526544766986003,0.10488415209675092
2024-06-30,0.06526544766986003,0.10488415209675092,0.25675837465246354
2024-07-01,0.10488415209675092,0.25675837465246354,0.29939707828770823
2024-07-02,0.25675837465246354,0.29939707828770823,0.2518478160214057
2024-07-03,0.29939707828770823,0.2518478160214057,0.20429861483892073
2024-07-04,0.2518478160214057,0.20429861483892073,0.15674935257261827
2024-07-05,0.20429861483892073,0.15674935257261827,0.10920012084822453
2024-07-06,0.15674935257261827,0.10920012084822453,0.10323977572954232
2024-07-07,0.10920012084822453,0.10323977572954232,0.0712673603263537
2024-07-08,0.10323977572954232,0.0712673603263537,0.08379765179145396
2024-07-09,0.0712673603263537,0.08379765179145396,0.19277102950910355
2024-07-10,0.08379765179145396,0.19277102950910355,0.13710323922597514
2024-07-11,0.19277102950910355,0.13710323922597514,0.1109852801438255
2024-07-12,0.13710323922597514,0.1109852801438255,0.12626420595801782
2024-07-13,0.1109852801438255,0.12626420595801782,0.23898035715463758
2024-07-14,0.12626420595801782,0.23898035715463758,0.2267930513248225
2024-07-15,0.23898035715463758,0.2267930513248225,0.26509178026831426
2024-07-16,0.2267930513248225,0.26509178026831426,0.18791220887147156
2024-07-17,0.26509178026831426,0.18791220887147156,0.0663391790139459
2024-07-18,0.18791220887147156,0.0663391790139459,0.026931213757443978
2024-07-19,0.0663391790139459,0.026931213757443978,0.17401107437394583
2024-07-20,0.026931213757443978,0.17401107437394583,0.13418783078414273
2024-07-21,0.17401107437394583,0.13418783078414273,0.16143350403409742
